"","sampleID","sampleID.wavelength","domainID","siteID","collectDate","wavelength","absorbance","DOC","SUVA"
"1","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.342","D10","ARIK",2024-04-30 17:18:00,342,0.00414,0.6191,0.668712647391374
"2","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.340","D10","ARIK",2024-04-30 17:18:00,340,0.00425,0.6191,0.686480374737522
"3","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.350","D10","ARIK",2024-04-30 17:18:00,350,0.00386,0.6191,0.623485705055726
"4","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.344","D10","ARIK",2024-04-30 17:18:00,344,0.00406,0.6191,0.655790663866904
"5","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.338","D10","ARIK",2024-04-30 17:18:00,338,0.00432,0.6191,0.697787110321434
"6","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.348","D10","ARIK",2024-04-30 17:18:00,348,0.00395,0.6191,0.638022936520756
"7","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.282","D10","ARIK",2024-04-30 17:18:00,282,0.00922,0.6191,1.48925860119528
"8","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.284","D10","ARIK",2024-04-30 17:18:00,284,0.00901,0.6191,1.45533839444355
"9","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.346","D10","ARIK",2024-04-30 17:18:00,346,0.004,0.6191,0.64609917622355
"10","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.280","D10","ARIK",2024-04-30 17:18:00,280,0.00945,0.6191,1.52640930382814
"11","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.316","D10","ARIK",2024-04-30 17:18:00,316,0.00601,0.6191,0.970764012275884
"12","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.318","D10","ARIK",2024-04-30 17:18:00,318,0.00582,0.6191,0.940074301405266
"13","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.320","D10","ARIK",2024-04-30 17:18:00,320,0.00566,0.6191,0.914230334356324
"14","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.314","D10","ARIK",2024-04-30 17:18:00,314,0.00617,0.6191,0.996607979324826
"15","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.324","D10","ARIK",2024-04-30 17:18:00,324,0.00527,0.6191,0.851235664674528
"16","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.326","D10","ARIK",2024-04-30 17:18:00,326,0.00508,0.6191,0.820545953803909
"17","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.328","D10","ARIK",2024-04-30 17:18:00,328,0.00493,0.6191,0.796317234695526
"18","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.322","D10","ARIK",2024-04-30 17:18:00,322,0.00545,0.6191,0.880310127604587
"19","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.306","D10","ARIK",2024-04-30 17:18:00,306,0.00701,0.6191,1.13228880633177
"20","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.308","D10","ARIK",2024-04-30 17:18:00,308,0.0068,0.6191,1.09836859958004
"21","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.332","D10","ARIK",2024-04-30 17:18:00,332,0.00462,0.6191,0.746244548538201
"22","ARIK.W1.20240430.FIL","ARIK.W1.20240430.FIL.334","D10","ARIK",2024-04-30 17:18:00,334,0.00452,0.6191,0.730092069132612
